sent0,sent1,labels
Jay feels grieved seeing his kind mother,Jay feels pleased seeing his kind mother,1
I am tall so I have an advantage in model show,I am short so I have an advantage in model show,0
I do well in math courses and I do well in history courses,I do well in math courses so I do well in history courses,0
John determines to grow taller so she eats more,John determines to grow taller so she eats less,0
I covered my quilt at the hotel,I washed up my quilt at the hotel,0
I was encouraged by him so I broke up with him,I was encouraged by him so I had better friendship with him,1
Jay played hard to finish the assignment,Jay worked hard to finish for the assignment,1
Lin feels happy after left out by her brothers,Lin feels sorrowed after left out by her brothers,1
Ken eats several books every day,Ken reads several books every day,1
I turned green when passing a crossroads,I turned right when passing a crossroads,1
He gets exhausted after 48 hours of continuous work,He gets energetic after 48 hours of continuous work,0
My mind gets clearer after drinking a lot alcohol,My mind gets more confused after drinking a lot alcohol,1
England declared war on her ally with great honour,England declared war on her rival with great honour,1
"owing to years of drought and war, his enemy's empire is now very strong","owing to years of drought and war, his enemy's empire is now very weak",1
"thanks to the weakness of his rivals, it's the best chance he never owns to stab them on the back","thanks to the great power of his rivals, it's the best chance he never owns to stab them on the back",0
Caesar has secretly raised opponents in the enemy country and they will put Caesar's rival down the throne,Caesar has secretly raised opponents in the enemy country and they will pull Caesar's rival down the throne,1
"due to the lack of salary and training, Octavian will no longer have the loyalty from his mercenary","due to the lack of salary and training, Octavian will now have more loyalty from his mercenary",0
"Caesar led his army to cross the river, and he ordered them to burn the bridges and ships to prevent them from escaping","Caesar led his army to cross the river, and he ordered them to burn the river to prevent them from escaping",0
Caesar won a battle and got a lot of spoils,Caesar encountered a military defeat and got a lot of spoils,0
"Caesar captured a lot of prisoners, to whom he surrendered",Caesar captured a lot of prisoners and they surrendered to him,1
"it's hot inside, we should turn the AC on","it's hot inside, we should turn the heater on",0
"it's a good time to exercise outside, because it's sunny","it's a good time to exercise outside, because it's rainy",0
"after the dinner, I would like to eat desert","after the dinner, I would like to eat dessert",1
I drank a lot of water after strenuous exercise,I drank a lot of oil after strenuous exercise,0
"because it's very hot, I'd like to swim in the river","because it's very hot, I'd like to swim in the lava",0
"compared to the ant, we're so small in scale","compared to earth, we're so small in scale",1
the lights were installed in the plane for a safe landing,the lights were installed in a meeting for a safe landing,0
falling into boiling water makes him feel happy,falling into love makes him feel happy,1
personal mushrooms are kept in oven to keep fresh,personal mushrooms are kept in refrigerator to keep fresh,1
a dance is a great way for him to bounce,a dance is a great way for him to express himself,1
the river belongs to a drop of water,a drop of water belongs to the river,1
a grain of sand belongs to the desert,the desert belongs to a grain of sand,0
"it's so cold, and I'm going to drink some lava","it's so cold, and I'm going to drink some hot water",1
the earth goes around the sun,the sun goes around the earth,0
ten peaches were eaten three and eight remained,ten peaches were eaten three and seven remained,1
Bob closed his mouth and watched TV with his parents,Bob closed his eyes and watched TV with his parents,0
he was beaten by his mother because he did study well,he was beaten by his mother because he didn't study well,1
it shines cats and dogs outside,it rains cats and dogs outside,1
"as he gets cold, his mother asks him to drink more cold water","as he gets cold, his mother asks him to drink more hot water",1
"generally speaking, it's very safe to hang out on the dark street at night","generally speaking, it's dangerous to hang out on the dark street at night",1
they were travelling in a plane in the air,they were travelling in a carpet in the air,0
Queen Elizabeth II is a king,Queen Elizabeth II is a queen,1
the teacher stood on the desk when school started,the teacher stood on the podium when school started,1
Chauncey eats milk,Chauncey drinks milk,1
he loves bread more than any other drinks,he loves milk more than any other drinks,1
he has ten toes on one foot,he has ten toes on his feet,1
a cup is used to write,a pencil is used to write,1
he communicates with his remote father with his phone,he communicates with his remote father with his light bulb,0
he played chess,he ate chess,0
I lost my brain at the subway station,I lost my wallet at the subway station,1
he eats tigers every day before lunch,he eat dessert every day before lunch,1
he pus an elephant in a drawer,he put a frog in a drawer,1
papers are made of iron,papers are made of wood,1
wolves are ferocious naturally,wolves are docile naturally,0
a music box can sing,a music box can sleep,0
he plants a tree on the sea,he plants a tree on the land,1
eyes are used to see things,eyes are used to hear things,0
we need the apple to open the lock,we need the key to open the lock,1
salt usually taste sweet,salt usually taste salty,1
obesity is healthy for human,obesity is harmful for human,1
ice releases heat when melting,ice absorbs heat when melting,1
rats live in the caves,rats live on the trees,0
students take lessons at night and sleep at day,students take lessons at day and sleep at night,1
he keeps a dog as a pet,he keeps a dragon as a pet,0
Tom runs 100 meters in 1 second,Tom runs 100 meters in 20 seconds,1
I take a shower in 200degrees Celsius,I take a shower in 40degrees Celsius,1
people speak to others in French in China,people speak to others in Chinese in China,1
he keeps a whale in a fishbowl,he keeps a goldfish in a fishbowl,1
rainbow usually appears after rain,rainbow usually appears after sand storm,0
there are dinosaurs in the zoo,there are elephants in the zoo,1
we keep breathe with our stomach,we keep breathe with our lung,1
I felt cool because the sun was too hot that day,I was soaked with sweat because the sun was too hot that day,1
"he didn't know the new word, so went to a dictionary","he didn't know the new word, so went to play basketball",0
it's so late that we can check all the students' grades,it's so late that we can only check some students' grades,1
this painting is worthless by a famous writer of the Wei and Jin Dynasties,this painting is of great value by a famous writer of the Wei and Jin Dynasties,1
"I stayed up all night last night, so my brain often crashes today","I stayed up all night last night, so I am energetic today",0
we are supposed to peep at a classmate's personal diary,it's impolite to peep at a classmate's personal diary,1
people can use flash lights in Caves,Caves don't allow flash photography,1
children should separate from their parents in the crowd,children should stick with their parents in the crowd,1
we have no access to see the east wing because the exhibit is not open to the public today,we can see the east wing because the exhibit is not open to the public today,0
we advocate that we should be able to swim when doing brave deeds for the sake of volunteering,we advocate that even if we are unable to swim we should still do brave deeds for the sake of volunteering,0
she liked feeling overfed,she suffered pain from being overfed,1
"he had no money, so he couldn't buy the ice cream he wanted to eat","he had no money, so he bought the ice cream he wanted to eat",0
"he often can't solve math problems, so he hates math","he often can't solve math problems, so he loves math",0
"his computer broke down, so he couldn't meet the deadline for handing in his homework","his computer broke down, so he can hand in his homework ahead of time",0
he worked out the problem and went to ask his classmates,he couldn't do the problem and went to consult his classmates,1
bananas can't be eaten when they are black,we should eat bananas after they turn black,0
"getting home after a happy date, he opened the door and invited his girlfriend in","getting home after a happy date,he closed the door leaving his girlfriend outside",0
delayed delivery of takeout made her really upset,delayed delivery of takeout made her really excited,0
he came to class with dark circles under his eyes due to too much homework he had yesterday,he came to class with dark circles under his eyes due to very little homework he had yesterday,0
the quality of the goods she received was too poor so that she would place another order in that store,the quality of the goods she received was too poor so that she would no more place an order in that store,1
I ate a fry fish as my dinner,I ate a tree as my dinner,0
he play the piano by mouth,he play the piano by hands,1
he saw an elephant eating meat,he saw an elephant eating plants,1
honesty can be bought by money,authority can be bought by money,1
he drank a bottle of juice,he drank a bottle of oil,0
too much alcohol makes Peter wide awake,too much alcohol makes Peter drunk,1
his friends enjoy when he sings because he cannot carry a tone,his friends don't expect him to sing because he cannot carry a tone,1
the high-speed railway runs very fast on the ground,the high-speed railway has such a quick speed for its capacity of flying in the sky,0
fans really love their idols,fans have a series of personal attacks on their idols,0
girls are careless about their dress when they date with their lovers,women dress up for their beholders,1
elephants like eating plants,elephants like eating meat,0
snow is in black color,snow is in white color,1
rain falls from stars,rain falls from clouds,1
cows produce juice,cows produce milk,1
cats prey on rats and fish,cats prey on stones and sands,0
there's some acids in one's stomach,there's some alkali in one's stomach,0
human likes to have beautiful appearance,human likes to have ugly appearance,0
books are made of glass,books are made of paper,1
oil can be found in the underground,oil can be found in the sky,0
doctors work in the hospital,policemen work in the hospital,0
a chef must be able to cook,a doctor must be able to cook,0
Hank eats a big birthday bloom on his birthday,Hank eats a big birthday cake on his birthday,1
my arm gets hurt and bleeds out red blood,my arm gets hurt and bleeds out blue blood,0
I feel comfortable when I get hurt,I feel painful when I get hurt,1
green plants produce water,green plants produce oxygen,1
he wear shoes on hands,he wear shoes on feet,1
human's teeth are black naturally,human's teeth are white naturally,1
Tom feels cold in winter,Tom feels hot in winter,0
the song is beautiful,the noise is beautiful,0
coffee can wake you up,milk can wake you up,0
we can use our phone to call,we can use our phone to swim,0
"when the sun falls down, we wake up","when the sun raises, we wake up",1
we can borrow money in a bank,we can borrow money in the toilet,0
my sister drinks a bottle of milk at noon every day,my sister drinks a whole carton of milk at noon every day,0
Jack is 18 meters tall,Jack was born two meters tall,0
a kilo of iron is heavier than a kilo of cotton,a kilo of iron is as heavy as a kilo of cotton,1
he took the high-speed train to the moon,he took the high-speed train to his hometown,1
most people work at sunset and rest at sunrise,most people work at sunrise and rest at sunset,1
she decided to go on holiday on February 27th,she decided to go on holiday on February 30th,0
my parents feed their horse every day,my parents feed their house every day,0
Kate slept on the bed last night,Kate slept on the ceiling last night,0
doctor goes to hospital to work,doctor goes to airport to work,0
the earth exists in the universe,the earth exists in the sun,0
my brother likes eating shoes as breakfast,my brother likes eating bread as breakfast,1
I go to hospital by car,I go to hospital by house,0
rats are bigger than human,rats are tiny animals,1
my parents eat lunch at table,my parents eat lunch on the ceiling,0
Tom is the country's prince,Tom is the country's princess,0
Japan is the the biggest country in the world,Japan is a small country in the world,1
dolphins can live in the desert,camels can live in the desert,1
a book is used to eat,a book is used to read,1
walls are made of concrete,walls are made of water,0
a car can feel pain,a dog can feel pain,1
guns are beneficial for human,guns are dangerous for human,1
my mom eats her breakfast at night,my mom eats her breakfast in the morning,1
hospital sells medicine,restaurant sells medicine,0
my mom eat an apple as dinner,my mom eat a telephone as dinner,0
he went out home without his clothes,he went out home without his lungs,0
snake moves by crawling,snake moves by flying,0
he was sentenced to death for drinking juice,he was sentenced to death for killing a man,1
flowers need water to live,flowers need plastic to live,0
there are many kind of animals in the zoo,there are many kind of books in the zoo,0
my father cooks dishes in the toilet,my father cooks dishes in the kitchen,1
drinking coffee makes him wide awake,drinking coffee makes him sleepy,0
human usually has two hands,human usually has five hands,0
my son has four big eyes,my son has two big eyes,1
spiders have only one eye,spiders have many eyes,1
he does his homework on the ceiling,he does his homework in the classroom,1
we do our math test in the classroom,we do our math test in the bathroom,0
he takes a photo by toothbrush,he takes a photo by camera,1
his skin is in black color,his skin is in blue color,0
he writes his report with his pen,he writes his report with his cup,0
Mary draw pictures by pencil,Mary draw pictures by window,0
octopus has many tentacles,octopus has many brains,0
he dies for his healthy body,he dies for his cancer,1
he drinks water by phone,he drinks water by cup,1
he put some cement on the bread to eat,he put some jam on the bread to eat,1
I'm taking a shower in a kitchen,I'm taking a shower in a bathroom,1
driving after drinking is illegal,driving after drinking is legal,0
it's not safe to drive while phoning,it's totally safe to drive while phoning,0
ancient people ride lions to work,ancient people ride horses to work,1
people can feel the gravity in the space,people can feel the gravity on the earth,1
there are lots of water in a lake,there are lots of dogs in a lake,0
butterflies can swim in the water,butterflies can fly in the sky,1
ice is colder than water,ice is hotter than water,0
snakes have many legs,snakes have no legs,1
dragons exist in our real lives,dragons exist in our fantasy,1
lemons taste sour,lemons taste salty,0
music can destroy human's body,music can awake human's emotion,1
silver is much more valuable than gold,gold is much more valuable than silver,1
he bought some food in the food store,he bought some food in the clothes store,0
human can live without silver,human can live without water,0
Bob fishes by the lake,Bob fishes in the desert,0
there are lots of clouds in a cloudy day,there are lots of clouds in a clear day,0
rats are timid,rats are fearless,0
human get fat for eating much,human get fat for eating little,0
farmers can plant fruits in farm,farmers can plant rockets in farm,0
rainbow is in four kind of colors,rainbow is in seven kind of colors,1
I drink oil every day,I drink water every day,1
cars have wheels,ships have wheels,0
he is reading books in the library,he is taking showers in the library,0
gold is harder than diamonds,diamonds are harder than gold,1
Peter have many friends because he is socially popular,Peter have many friends because he is socially awkward,0
his clothes are clean so he washes them,his clothes are dirty so he washes them,1
Jack likes planting flowers in his garden,Jack likes cooking dishes in his garden,0
fire is hotter than ice,fire is colder than ice,0
houses are used for human to live,houses are used for human to eat,0
doing sports more makes one lose weight,doing sports more makes one gain weight,0
the future is unpredictable,the future is predictable,0
octopus lives in the jungle,octopus lives in the sea,1
roses are good gifts for lovers,dead fish is good gifts for lovers,0
there are many trees on an ice mountain,there are many trees in a jungle,1
people usually make wishes when seeing the sun,people usually make wishes when seeing a falling star,1
owls sleep at night,owls sleep at day,1
some plants eat insects,some plants eat human,0
glue is used to be drunk as beverage by human,glue is used to join two things together,1
we use telescope to see things far away from us,we use microscope to see things far away from us,0
"if you cast the dice and you get the number 6, then you can go six steps forward","if you cast the dice and you get the number 7, then you can go seven steps forward",0
China is the most populous country in America,China is the most populous country in the world,1
"at standard atmospheric pressure, water has a 50% chance boiling at 100 degrees Celsius",water boils at 100 degrees Celsius at standard atmospheric pressure,1
he likes her so much that he invites her to dinner tonight,he hates her so much that he invites her to dinner tonight,0
"the teacher often punishes students corporally, so the students respect for him very much","the teacher often punishes students corporally, so the students hate him very much",1
"we use ""I have butterflies in my stomach"" to describe a person is very nervous","we use ""I have butterflies in my stomach"" to describe a person is very hungry",0
"I'm short-sighted, so I have to wear glasses in class","I'm short-sighted, so I never wear glasses in class",0
he was not drunk because he had a strong drinking capacity,he was not drunk because he had a weak drinking capacity,0
Harry Potter is a very popular cartoon,the novel Harry Potter is very popular,1
the rainbow will appear after the rain,the sun will appear during the rain,0
"the air conditioner is broken, so the indoor temperature rises","the air conditioner is broken, so the indoor temperature drops",0
he was late for work and his boss got happy,he was late for work and his boss got angry,1
tears began to spill out of the boy's eyes,tears began to spill out of the boy's mouth,0
she finally got good grades because she skipped too many classes the semester,she finally dropped out because she skipped too many classes the semester,1
people don't believe him because he often breaks his promise,people trust him really because he often breaks his promise,0
watching your computer for a long time is good for your eyes,looking at green plants more helps to alleviate eye fatigue,1
you are supposed to buy tickets after you get off the bus,you are supposed to buy tickets as soon as you get on the bus,1
"if you violate traffic regulations, you will receive a reward","if you violate traffic regulations, you will receive a ticket",1
she loses weight by overeating,she loses weight by doing exercises,1
students should do their homework first then have fun,students are supposed to play before they finish their homework,0
she went for a walk on her legs,she started to fly with her wings,0
"he hasn't eaten for a long time, so looks thin and bony","he hasn't eaten for a long time, so looks fat and affluent",0
a lion is eating raw meat there,a lion is eating straw there,0
the clerk gestured to him because he could not see,the clerk gestured to him because he could not hear,1
"we use ""talk big"" to describe a person brags","we use ""talk big"" to describe a person talks something important",0
we have to put stamps on the envelopes when we send letters,we have to put stickers on the envelopes when we send letters,0
"his shirt has a big hole in it, so he continues to wear it","his shirt has a big hole in it, so he needs to change one",1
sulfuric acid solution is hazardous,sulfuric acid solution can be touched,0
smuggler should be rewarded,smuggling is illegal,1
"when one is bluffing, he talks about things in truth","when one is bluffing, he talks about something fake",1
smoking is good for your health,smoking is bad for your health,1
eating some glass every day is good for your health,eating an apple a day is good for your health,1
a bird flies in the sky,an elephant flies in the sky,0
he looked up to see a fox in the sky,he looked up at the white clouds in the sky,1
he's sleeping in bed tonight,he's sleeping in the sea tonight,0
the sun rises from the east in the morning,the sun rises from the west in the morning,0
he saw the sun at night,he saw the sun at noon,1
the fish swam on the grass,the flowers bloom on the grass,1
an elephant ran into the fridge,a mouse ran into the hole,1
he saw an elephant in the bedroom,he saw an elephant at the zoo,1
he picked up a cup of an elephant,he picked up a cup of orange juice,1
he woke up for a glass of poisons in the morning,he woke up for a glass of water in the morning,1
he woke up in the morning and went to the restaurant to eat a pig,he woke up in the morning and went to the kitchen for a glass of water,1
the crocodile in the park climbed into the grass,the crocodile in the park flew into the sky,0
she wore a necklace around her neck,she wore a necklace around her waist,0
she went to the clothing store and bought beautiful clothes,she went to the clothing store and bought a knife,0
she was trying on clothes at the mall at noon today,she slept in the elevator at the mall this afternoon,0
she accompanied her sick father to the restaurant today,she accompanied her sick father to the hospital today,1
a thief broke into his house and he called the police,an alien broke into his house and he called the police,0
he went to the bank to deposit a sum of money,he went to the school to deposit a sum of money,0
carrots love rabbits,rabbits love carrots,1
there is straw in a hamburger,there is meat in a hamburger,1
I went to the market by car,I went to the market by plane,0
he hasn't eaten for half a year,he had a bowl of chicken soup for lunch,1
he said he would marry a monkey tomorrow,he said tomorrow would be his wedding,1
I ate an apple this morning,I drank an apple this morning,0
nine-year-old children love driving cars,nine-year-old children love bumper cars,1
the city wall was built to defend against enemy,the city wall was built only for beauty,0
we have decided to go on holiday on July 32th,we have decided to go on holiday on July 31th,1
he plays basketball game in basketball shoes,he plays basketball game in football shoes,0
humans are the most intelligent animals on earth,man does not belong to animals,0
two plus two equals five,two plus two equals four,1
an elephant trampled an ant to death,an ant trampled an elephant to death,0
She put some stones in the cup,She put some tea in the cup,1
he likes drinking boiling water,he likes drinking orange juice,1
drinking a lot of wine is good for your health,drinking a lot of wine is bad for your health,1
I bought a bomb for my girlfriend,I bought a toy for my girlfriend,1
tigers eat rabbits,tigers eat leaves,0
he wore a flak jacket and went skiing with his friends,he wore a down jacket and went skiing with his friends,1
the color of the phone case is red,the color of the phone screen is red,0
Jack's father is 60 years old now,Jack's father was 60 years old when he was born,0
the sky is green,the sky is blue,1
a balloon can illuminate the entire room,a candle can illuminate the entire room,1
drinking hot soup is helpful to relieve cold,eating spicy food is helpful to relieve cold,0
my friend ate a truckload of apples yesterday,my friend ate an apple yesterday,1
pears have more water than jujubes,jujubes have more water than pears,0
my friend celebrated her 10th birthday when she was 10 years old,my friend celebrated her 10th birthday as soon as she was born,0
it's raining cats and dogs outside,it's raining cats and dogs in the classroom,0
"the man got a gut ache, so he went to the doctor","the man got a gut ache, so he went to the teacher",0
girls usually love to wear lipstick,boys usually love to wear lipstick,0
boys like to wear nail polish more than girls,girls like to wear nail polish more than boys,1
there are usually more students than teachers in a school,there are usually more teachers than students in a school,0
the students teach the teachers at school,the teachers teach the students at school,1
teachers usually have more knowledge than students,students usually have more knowledge than teachers,0
it is colder in winter than summer,it is colder in summer than winter,0
the days are longer in summer than winter,the days are longer in winter than summer,0
pandas are rare animals,rats are rare animals,0
he put his clothes in washing machine to clean,he put all plates in washing machine to clean,0
fire keeps you warm,fire keeps you cold,0
my friend eaten nothing for years,my friend ate a biscuit this evening,1
my friend didn't have dinner last night,my friend ate cat food last night,0
the color of the sea is yellow,the color of the sea is blue,1
the shape of ice is changeable,the shape of water is changeable,1
the dog barks all day long,the tortoise barks all day long,0
the quilt is used for making fire,the quilt is used to keep warm,1
paper is used for writing,paper is used for eating,0
dishwashing liquid is used to take a bath,dishwashing liquid is used to wash the dishes,1
my friend married the dog he loves,my friend married the girl he loves,1
Harry lives in the bottom of the sea,Harry lives in the bottom of the building,1
birds like reading book,teachers like reading book,1
the big tree can keep the grass out of the rain,the grass can keep the big tree out of the rain,0
he put his shoes on his head,he put his hat on his head,1
the tree floats in the wind,the dandelion floats in the wind,1
my friend didn't sleep for half a year,my friend didn't sleep last night,1
potatoes grow on the trees,potatoes grow in the ground,1
bitter melon is sweet,rock sugar is sweet,1
a badminton is round,a football is round,1
dragonflies like to collect honey,bees like to gather honey,1
there are more stars than moons,there are more moons than stars,0
fish live in the desert,cactuses live in the desert,1
the peacock can spread its tail,the dog can spread its tail,0
the student likes to play the piano,the dog likes to play the piano,0
he celebrates his birthday three times a year,he celebrates his birthday once a year,1
you can live in a room,you can live in a fireplace,0
he likes to turn on the fan in winter,he likes to turn on the fan in summer,1
he drink much alcohol while exercise,don't drink much alcohol while exercise,1
bandage can stop bleeding,washing powder can stop bleeding,0
the washing machine can wash clothes,the washing machine washes your hair,0
a duck walks on three legs,a duck walks on two legs,1
the dog drives to and from work every day,I drive to and from work every day,1
the person wore a pair of shoes,the chicken wore a pair of shoes,0
my cat cooked a delicious meal,my mother cooked a delicious meal,1
dad drives his own car,dad can drive two cars at the same time,0
shorts are longer than trousers,trousers are longer than shorts,1
the mouth can talk,the nose can talk,0
I can see the wind,I can see fireworks,1
the teeth are stronger than the tongue,the tongue is stronger than the teeth,0
Tom climbs to a tree,Tom climbs to the sky,0
the garden has so many flowers,the garden has so many pigs,0
I like to play basketball with my dog,I like to play basketball with my friends,1
a book contains many libraries,a library contains many books,1
Most of the cola is composed of water.,Most of the cola is composed of gold,0
He restored the Rubik's Cube with his eyes,He restored the Rubik's Cube with his hand.,1
Charging treasure can charge the phone,Charging treasure can charge the stomach,0
The teacher planted a tree on paper.,The teacher wrote an article on paper.,1
My sister cut an iron column with scissors,My sister cut a rope with scissors,1
I washed a glass of milk with soap bar,I washed a glass of milk with milk powder.,1
I wash my feet with water,I wash my feet with magma,0
Camels can travel in the moon,Camels can travel in the desert,1
Diamonds  in the down jacket,Duck feather in the down jacket,1
The baby kangaroo got into bottle,The baby kangaroo got into  bag.,1
Jim is blowing his hair with ice,Jim is blowing his hair with a hair dryer.,1
Craftsman builds a house with wood,Craftsman builds a house with water,0
Pen is having breakfast,Dad is having breakfast,1
Caterpillars can turn into butterflies,Tigers can turn into butterflies,0
My brother likes to eat durian peel.,My brother likes to eat apple peel.,1
The repairman fills the air into the tire,The repairman fills the water into the tire,0
A student going to make a hairstyle,A monk going to make a hairstyle,0
This fossil has existed for tens of thousands of years.,This people has existed for tens of thousands of years.,0
Mother is frying eggs in a pan,Mother is frying eggs in a basketball,0
Sea anemones can live on blue whale,Sea anemones can live on hermit crabs,1
He took the train to moon,He took the train to Lhasa,1
Mom is mopping the floor with a mop,Mom is mopping the floor with an egg,0
Farmers are using hoes to smash,Farmers are using chopsticks to smash,0
Mother waters the flowers once a week.,Mom puts oil on the flowers once a week.,0
.The hen of the ranch lays ducks,The hen of the ranch lays eggs.,1
Grandma is cutting vegetables with paper,Grandma is cutting vegetables with a kitchen knife,1
Jimmy took the tree out of the bag.,Jimmy took the badminton out of the bag.,1
Uncle wiped the diamond  on the bread,Uncle wiped the tomato sauce on the bread,1
Grandma wraps the meat into the dumplings,Grandma wraps an airplane into the dumplings,0
I am going home to open the door with a key,I am going home to open the door with broom,0
I saw an elephant with a microscope,I saw the microbes with a microscope,1
I am doing flying in a hot air balloon,I am doing flying in a chair,0
He is using an eraser to remove a pencil mark,He is using glass to remove a pencil mark,0
The singer speaks through the vibrating hands,The singer speaks through the vibrating vocal cords,1
He glued the object with glue,He glued the object with water,0
I wash my hair with shampoo,I wash my hair with glue,0
The boss put the wine in the bottle,The boss put the wine in the paper,0
Flamethrower sprays a lot of water,Flamethrower sprays a lot of flame,1
The chef is sharpening the knife with sharpening stone,The chef is sharpening the knife with glass,0
Tiger can be drilled into small bottles,Octopus can be drilled into small bottles,1
Dandelion seeds floate in the air,lotus seeds floate in the air,0
Painter paints with watercolors,Painter paints with water,0
Stone is caught in the burger,Beef is caught in the burger,1
He is playing billiards with a toothpick,He is playing billiards with a pool cue.,1
Uncle fires with ice cubes,Uncle fires with a flint,1
The fishermen caught the fish in the lake.,The fishermen caught the monkey in the lake,0
Tom is eating with his hands,Tom is eating with his mouth.,1
An ant got into the sponge,Bears got into the sponge,0
Jimmy was sunburned by the moon.,Jimmy is sunburned by the sun,1
He was stabbed with stones,He was stabbed with cotton,0
He found the planet in the treasure chest.,He found gold in the treasure chest.,1
Mother uses a baking machine to melt iron,Mother uses a baking machine to make a cake,1
He is manipulating the machine,He is manipulating the sun,0
Craftsman is painting the wall with water,Craftsman is painting the wall with paint,1
The factory is producing paper from wood pulp.,The factory is producing paper from glass,0
Dad is digging ears with knife,Dad is digging ears with ear spoon,1
Brother is blowing bubbles with molten iron,Brother is blowing bubbles with soapy water,1
Cousin carrying  whales to go to school,Cousin carrying school bag to go to school,1
Apple tree production apple,Christmas tree producing apple,0
Tourists skating on the water,Tourists skating on the ice,1
Chickens are eating bugs.,Chickens are eating tiger,0
Bullfighter  is bullfighting with grass,Bullfighter  is bullfighting with red cloth,1
The bear in the sky are beautiful,The stars in the sky are beautiful,1
Chef is making roast duck in the oven,Chef is making roast duck in the school bag,0
Mother sprayed dishwashing liquid before going out,Mother sprayed perfume before going out,1
Farmers use sesame to extract oil,Farmers use water to extract oil,0
Grandma is sewing clothes with needlework,Grandma is sewing clothes with cutting machine,0
Tony is ironing with ice,Tony is ironing with a curling iron,1
Grandfather uses meet to make bait,Grandfather uses iron to make bait,0
Workers build buildings with cement,Workers build buildings with foam,0
People are drinking sand to quench their thirst,People are drinking water to quench their thirst,1
Pete bought a diamond lock,Pete bought a copper lock,1
Mom is cooking in a pot made of sand,Mother is cooking in a steel pot,1
The performer changed his head in a flash,The performer changed his mask in a flash,1
He saw polar bears in the Arctic,He saw lions in the North Pole,0
Apple is ripe after falling,Apple is up after falling,0
Jim is standing on the stone pier,Jim is standing on tofu,0
I saw outside the house through the glass.,I saw outside the house through the wall.,0
She is waiting for the plane at the airport.,She is waiting for the ship at the airport.,0
Dad pierced the board with nails,Dad pierced the board with eggs,0
Workers smelt iron from the original stone,Workers smelt iron from water,0
Harry is sweeping the floor with a knife,Harry is sweeping the floor with a broom,1
The hail fell in the sky,The gold fell in the sky,0
Bamboo grows on the ground,Fishes grows on the ground,0
Uncle is smoking,A tiger is smoking,0
Jane wore a basketball today.,Jane wore a new dress today.,1
The lighter ignited  iron,The lighter ignited a cigarette,1
The peasant stripped the scorpion from the lotus root,The peasant stripped the rabbit from the lotus root,0
Farmers are planting food,Farmers are planting people,0
The excavator dug sun in the ground,The excavator dug gold in the ground,1
The rabbit was killed by corn,The rabbit was killed by the tiger,1
Scientist looking for sharks in the grass,Scientist looking for herbs in the grass,1
Satan is going to the cinema to ride a roller coaster,Satan is going to the cinema to watch a movie.,1
He saw his father in the mirror,He saw himself in the mirror,1
Jimmy married an alien.,Jimmy married a foreigner.,1
I sleep on a steel nail,I sleep in bed,1
Harry plays games in the Internet cafe,Harry plays golf in the internet cafe,0
Mother hung a shark on the wall,Mother hung a mural on the wall,1
Lunch at noon is paper,Lunch at noon is chicken legs,1
Bees are collecting nectar,Bees are eating meat,0
Dad is bigger than me.,Dad is bigger than an whale,0
The tank can fly above the clouds,The plane can fly above the clouds,1
The explorer crossed a galaxy,The explorer crossed a desert,1
The soldiers put bullets into the pistol,The soldiers put basketballs into the pistol,0
Parkour man walking on the wall,Parkour man walking on the pool,0
A hourse climbed to the top of the tree,A cat climbed to the top of the tree,1
Grandpa caught a blue whale,Grandpa caught a big fish,1
Performer holding a steel rod to walk the tightrope,Performer holding a car to walk the tightrope,0
Mother puts clothes in the washing machine,Mother puts the computer in the washing machine,0
He broke his basketball,He broke his bracelet,1
Photographer taking photos with camera,Photographer taking photos with headphones,0
I put my clothes on the balcony.,I put my clothes on the bathroom.,0
Tom just went to Mars for a tour,Tom just went to Thailand for a tour,1
Jim found gold in the desert.,Jim found gold in the bread.,0
Monkeys can fly,Monkeys can climb trees,1
Rainbow is produced on sunny days,Rainbow is produced on rainy days,1
He grabbed a dinosaur from the doll machine,He grabbed a doll from the doll machine,1
3d printing can print people,3d printing can print car,1
You can call on land,You can call underwater,0
The teacher taught the rabbit to talk,The teacher taught the students to talk,1
Alcohol can make you more powerful,Alcohol can make you drunk,1
Crocodile cubs can eat milk,Panda cubs can eat milk,1
I jump high because I have good jumping ability.,I jumped high because gravity is small for me.,0
You don't feel hot because the sun itself is low,You don't feel hot because the sun is far away,1
Calendar can change the number of days,Calendar can record the number of days,1
Practicing English allows you to communicate with foreigners,Practicing English allows you to be foreigners,0
He live in a mansion,He live under water,0
You can break the chopsticks,You can break the cement column,0
Seagulls can eat blue whales,Seagulls can eat fish,1
Thermometer can measure temperature,The thermometer can change temperature,0
People can raise lions in the water tank,People can raise fish in the water tank,1
I am traveling by turtle.,I am traveling by train.,1
The grass is covered with gold,The grass is covered with dewdrops,1
The desk lamp illuminates the room,The desk lamp illuminates the room,1
Robots can talk,Robots can eat food,0
Noodles are made of flour,Noodles are made of iron,0
I shot a tiger with a gun.,I shot a mammoth with a gun.,0
Rose is blossoming,Grass is blossoming,0
Rabbit sprays out venom,Cobra sprays out venom,1
Squeeze the iron on the bread,Squeeze the mustard on the bread,1
Hair can be made into a brush,Grass can be made into a brush,0
The pen needs to absorb oil,The pen needs to absorb ink,1
There is cloud in the sewer,There is biogas in the sewer,1
Fireflies can shine,Snakes can shine,0
Dad lights water,Dad lights the paper,1
He is giving a massage to the customer,He is giving a massage to the hedgehog,0
